Country Name,Physical Violence Score,Violence ranking,Corruption Score ,Corruption ranking
Kenya,2.342,133,25,145
Ethiopia,2.234,119,33,110
Uganda,2.179,111,26,142
Zambia,1.846,55,38,85
South Africa,2.376,136,44,67
China,2.267,124,36,100
Japan,1.322,8,76,15
India,2.504,143,38,85
Vietnam,1.848,56,31,119
Thailand,2.303,126,38,85
Turkey,2.363,135,45,64
Russia,2.954,152,27,136
Ukranie,2.845,150,26,142
Poland,1.43,19,61,35
Argentina,1.865,60,34,107
Brazil,2.122,103,43,69
Mexico,2.53,144,35,103
Colombia,2.72,146,37,94
Peru,2.029,92,38,85
Egypt,2.382,137,37,94
Israel,2.781,148,60,37
Jordan,1.944,71,49,55
Kuwait,1.626,33,44,67
Morocco,2.002,86,39,80
Canada,1.287,7,81,10
U.S.,2.038,94,74,17
Germany,1.379,16,79,12
France,1.742,45,69,26
Switzerland,1.275,5,43,69
Greece,1.878,61,43,69
U.K.,1.685,39,78,14
